vid,elev,tmin,prec,dist_victoria
1,1189,160.75,82.66666666666667,568.338163979296
2,1184,158.75,83.83333333333333,1291.53937646469
3,1177,160.08333333333334,82.66666666666667,712.820896868305
4,1139,161.08333333333334,82.83333333333333,234.206723262769
5,1157,159.75,83.58333333333333,219.427420877125
6,1150,160.91666666666666,83.91666666666667,121.436060192527
7,1139,161.08333333333334,84.91666666666667,92.9781448365653
8,1153,159.83333333333334,83.41666666666667,399.502449490104
9,1155,159.75,84.83333333333333,281.222721405438
10,1156,160.83333333333334,82.75,74.7857900366914
11,1199,158.33333333333334,83.75,750.652787562113
12,1159,159.08333333333334,87.08333333333333,1046.09652408594
13,1156,158.25,94.5,795.958919369396
14,1137,158.83333333333334,92.08333333333333,48.1409691528136
15,1147,161.41666666666666,81.16666666666667,544.031380092767
16,1155,160.58333333333334,81.75,732.776077690981
17,1281,152.75,92.91666666666667,2751.60797560706
18,1174,156.41666666666666,95.83333333333333,1091.06679433892
19,1158,157.58333333333334,93.5,1638.96305715201
20,1205,155.66666666666666,99.08333333333333,1939.51029713184
21,1138,157.91666666666666,94.66666666666667,86.8348330400464
22,1185,156.41666666666666,93.75,2290.29588121033
23,1338,148.91666666666666,101.41666666666667,4718.10983674328
24,1185,156.16666666666666,96.75,3240.02242157003
25,1151,157.08333333333334,96.33333333333333,1598.11628658252
26,1164,161.41666666666666,81.5,476.860792758576
27,1138,157.83333333333334,96.83333333333333,32.2760360482654
28,1162,157.33333333333334,96.5,1695.45706390409
29,1178,157.41666666666666,92.91666666666667,3309.3133581496
30,1256,153.5,93.41666666666667,2828.67669103631
